model_prompt,BLEU,RSR,CSR,Edit_Similarity
CodeLlama-7b-Instruct-hf__few_shot_first_prompts,56.432857142857145,9.75609756097561,32.31707317073171,0.17362195121951218
CodeLlama-7b-Instruct-hf__zero_shot_first_prompts,25.315454545454546,46.34146341463415,46.34146341463415,0.1583109756097561
starcoder2-3b__few_shot_first_prompts,58.624117647058824,12.195121951219512,31.097560975609756,0.1839329268292683
starcoder2-3b__zero_shot_first_prompts,35.71,35.97560975609756,35.97560975609756,0.16599999999999998
